class,date,network_box(W),pc1(W),pc2(W),pc3(W),pc4(W),pc5(W),time
n,11/18/2024,78.36,38.57,43.68,41.4,49.06,42.01,9:45
n,11/18/2024,79.61,36.58,42.59,40.58,50.12,43.09,10:00
n,11/18/2024,85.31,36.35,44.18,41.09,48.18,43.38,10:15
y,11/18/2024,86.04,40.51,45.54,40.23,50.93,43.01,10:30
y,11/18/2024,83.24,41.04,43.65,40.27,49.84,42.86,10:45
y,11/18/2024,78.34,39.51,45.24,40.13,52.27,45.45,11:00
y,11/18/2024,83.44,38.29,43.77,40.68,50.14,42.65,11:15
y,11/18/2024,95.39,42.27,45,40.42,51.95,42.94,11:30
y,11/18/2024,83.33,37.13,44.89,40.21,49.4,44.56,11:45
y,11/18/2024,82.3,43.07,44.14,42.6,52.14,44.11,12:00
y,11/18/2024,91.81,43.03,44.98,42.06,51.25,42.7,12:15
y,11/18/2024,89.9,42.44,44.22,41.64,51.11,45.42,12:30
y,11/18/2024,87.21,40.57,43.95,40.97,51.94,43.95,12:45
y,11/18/2024,93.49,37.59,43.86,41.94,49.7,44.51,13:00
y,11/18/2024,78.57,41.34,44.06,42.82,51.68,42.65,13:15
n,11/18/2024,86.37,36.58,42.15,40.54,50.4,43.1,13:30
y,11/18/2024,79.6,40.78,43.59,41.06,49.86,43.28,13:45
y,11/18/2024,80.34,40.73,45.73,42.03,49.73,44.25,14:00
y,11/18/2024,90.98,38.96,45.68,40.37,50.69,45.23,14:15
y,11/18/2024,89.88,42.26,43.74,41.05,52.12,43.78,14:30
y,11/18/2024,83.91,37.89,45.22,40.04,51.39,43.32,14:45
y,11/18/2024,83.87,42.37,45.78,41.26,50.88,44.25,15:00
y,11/18/2024,92.24,37.92,44.64,41.39,50.77,43.62,15:15
y,11/18/2024,83.85,39.44,43.64,40.57,51.05,45.34,15:30
n,11/18/2024,87.3,38.35,42.27,40.07,48.07,43.16,15:45
n,11/18/2024,85.14,38.88,42.97,40.27,50.66,42.78,16:00
n,11/18/2024,79.11,36.04,43.14,39.79,50.14,43.66,16:15
y,11/18/2024,90.59,41,43.97,41.86,49.62,45.53,16:30
y,11/18/2024,80.45,39.72,44.79,41.11,51.44,43.69,16:45
y,11/18/2024,78.49,39.54,45.59,40.24,50.03,42.94,17:00
y,11/18/2024,86.14,38.23,44.14,40.32,51.04,45.49,17:15
y,11/18/2024,88.03,37.96,43.85,41.39,50.7,44.9,17:30
y,11/18/2024,78.53,42.77,45.29,41.88,49.82,45.47,17:45
y,11/18/2024,86.45,42.81,43.64,42.06,50.69,44.62,18:00
y,11/18/2024,80.4,38.14,43.62,41.45,49.79,42.63,18:15
y,11/18/2024,84.74,38.13,45.39,42.68,49.97,43.53,18:30
y,11/18/2024,84.91,39.81,44.67,41.87,50.09,43.47,18:45
y,11/18/2024,78.79,39.26,43.45,41.7,50.7,44.85,19:00
n,11/18/2024,88.28,35.98,42.84,39.95,49.61,42.81,19:15
n,11/18/2024,86.25,39.84,44.45,39.29,49.69,41.1,19:30
